query_raw,ref_answer
"Context: julien"" doctrine are overruled, insofar as they conflict with the views here expressed.
Question: Is it overruling?
Answer:",Yes
"Context: this instruction was copied from the case of george v. standard slag company, ky., 431 s.w.2d 711, 715 (1968), and we specifically overrule that portion of the case.
Question: Is it overruling?
Answer:",Yes
"Context: 634 f.3d at 870.
Question: Is it overruling?
Answer:",No
"Context: clark implicitly overrules our cases holding that harmless error analysis is inapplicable where the defendant contests intent.
Question: Is it overruling?
Answer:",Yes
"Context: to the extent this opinion is in conflict with state v. malone, 654 so.2d 92 (ala.crim.app. 1995), malone is hereby overruled.
Question: Is it overruling?
Answer:",Yes
"Context: moreover, the confrontation.
Question: Is it overruling?
Answer:",No
"Context: to the extent deal v. madison can be read to hold that section 2(e) applies only at the option of the defendant, it conflicts with the statute and this opinion, and it is disapproved.
Question: Is it overruling?
Answer:",Yes
"Context: a trial court must give an instruction sua sponte on an uncharged lesser offense that is necessarily included in a greater charged offense if the evidence warrants the instruction.
Question: Is it overruling?
Answer:",No
"Context: thus, to the extent that rodgers holds that the trial court must enter a nunc pro tunc order to extend the time to appeal for ten days under cr 73.02(1)(d)
Question: Is it overruling?
Answer:",Yes
"Context: because we determine that plaintiff's combined rule 52, 59, and 60 motion was not timely served on defendant as to the 10 january orders, which in turn rendered plaintiff's appeal from those underlying orders untimely, we decline to grant plaintiff's petition for writ of certiorari in coa17-1119 to address the merits of his appeal, see infra.
Question: Is it overruling?
Answer:",No
"Context: we understand the difficult decision the juvenile court faced in confronting conflicting presumptions of parentage, neither of them ideal.
Question: Is it overruling?
Answer:",No
"Context: even though we have not been referred to a clear constitutional provision or doctrine invalidating the jurisdiction conferred by section 3.2, petitioner has cited statements and language in a number of authorities in support of its position, including those statements in city of pasadena v. railroad com., supra, 183 cal. 526, heretofore disapproved.
Question: Is it overruling?
Answer:",Yes
"Context: although the majority did not address the continued viability of vogel, it has effectively been overruled.
Question: Is it overruling?
Answer:",Yes
"Context: (miratti's inc., supra, 132 nlrb at p. 701.)
Question: Is it overruling?
Answer:",No
"Context: we are fully in accord with the relaxation of the federal requirements as expressed in illinois v. gates, supra, and to the extent that berkshire v. commonwealth, supra; thompson v. commonwealth, supra; and buchenburger v. commonwealth, supra, express a contrary view, they are overruled.
Question: Is it overruling?
Answer:",Yes
"Context: in determining whether a complaint has alleged a plausible claim for relief, we """"consider the complaint in its entirety, as well as other sources courts ordinarily examine when ruling on rule 12(b)(6) motions to dismiss, in particular, documents incorporated into the complaint by reference, and matters of which a court may take judicial notice.""""
Question: Is it overruling?
Answer:",No
"Context: we overrule part of norman and hold that alaska foods' action should not have been dismissed.
Question: Is it overruling?
Answer:",Yes
"Context: tex. civ. prac. & rem. code ann. 18.001(e)(1).
Question: Is it overruling?
Answer:",No
"Context: [24] the michels argue the district court should have held an evidentiary hearing and rely on britton, 2013 mt 30,  27, 300 p.3d 667, in which the montana supreme court held due process requires an evidentiary hearing in partition actions under certain circumstances.
Question: Is it overruling?
Answer:",No
"Context: see also williams v. state, 268 ga. 488, 490 (491 se2d 377) (1997).
Question: Is it overruling?
Answer:",No
"Context: because bluebonnet express, inc. v. employers ins. of wausau, 655 s.w.2d 327 (tex.app.  houston [14th dist.] 1983, no writ) held to the contrary, it is disapproved.
Question: Is it overruling?
Answer:",Yes
"Context: the holding in farnsworth, supra, is overruled.
Question: Is it overruling?
Answer:",Yes
"Context: however, even accepting that the initial stop was justified and the decision to impound the vehicle was not pretext for searching miller's vehicle without a warrant, i believe the mere existence of a police department policy is insufficient to satisfy the state's burden of proving the applicability of the inventory search exception to the fourth amendment.
Question: Is it overruling?
Answer:",No
"Context: accordingly, in brown, the court expressly limited the scope of estrada: """"estrada is today properly understood, not as weakening or modifying the default rule of prospective operation codified in section 3, but rather as informing the rule's application in a specific context by articulating the reasonable presumption that a legislative act mitigating the punishment for a particular criminal offense is intended to apply to all nonfinal judgments.""""
Question: Is it overruling?
Answer:",No
"Context: id.   37 a jury convicted the defendant in lerma of first degree murder based on evidence """"consit[ing] solely of two eyewitness identifications.""""
Question: Is it overruling?
Answer:",No
"Context: the victim told police that she thought she heard a trigger being pulled, but neither of the guns went off. during his plea colloquy, defendant agreed that the victim """"was afraid that [defendant] was going to shoot her.""""
Question: Is it overruling?
Answer:",No
"Context: given its reasoning, i do not believe that the d.c. circuit would have reviewed the district court's order on interlocutory appeal.
Question: Is it overruling?
Answer:",No
"Context: filed, which appears to hold to the contrary, is hereby overruled.
Question: Is it overruling?
Answer:",Yes
"Context: the en banc court unanimously votes to overrule morin v. helfrick, 930 s.w.2d 733, 738 (tex.app.  houston [1st dist.] 1996, no writ), as set out in part a, footnote 4, of the opinion.
Question: Is it overruling?
Answer:",Yes
"Context: the relevant court order did not ask dr. goff or anyone else to provide the defense with help in evaluating, preparing, and presenting its case.
Question: Is it overruling?
Answer:",No
"Context: diaz-diaz contends that the government failed to prove venue and that he was prejudiced by the district court's rejection of his proposed jury instruction on venue.
Question: Is it overruling?
Answer:",No
"Context: id. at 1005 (baer, j., concurring).
Question: Is it overruling?
Answer:",No
"Context: according to deposition testimony from a staff member of the harrison county assessor's office, the mineral interest had been   previously assessed on the personal property books rather than the landbooks and was made based on a gas producer's report of income paid to the harry p. cross estate from production of the oil and gas. new landbook assessments were made in 1990 for """"richard andrews, agent"""" of """".0764% int. 150 ac leased o & g (alamco) a-774;"""" """"andrews, richard snowden hrs."""" of """" int. leased o&g eastern american (8243 c andrews); and """"saunders, phyllis fletcher"""" of """"0.2244 int. 271.67 as leased o&g sycamore (cng dev 2088).
Question: Is it overruling?
Answer:",No
"Context: therefore, we disapprove of hagar to the extent that it holds that the term 'charge' includes unilaterally placing on an account an amount due as interest without any other action.
Question: Is it overruling?
Answer:",Yes
"Context: id. at 248-49.
Question: Is it overruling?
Answer:",No
"Context: to the extent that tendai and mendelsohn suggest otherwise as regards the standard of review, they are overruled.
Question: Is it overruling?
Answer:",Yes
"Context: we disapprove of those statements in brooks and green because deterrence is directed at persons who have committed wrongful acts.
Question: Is it overruling?
Answer:",Yes
"Context: to the extent that davis, whitehead, and lawson hold to the contrary, they are overruled.
Question: Is it overruling?
Answer:",Yes
"Context: thereafter, the fourth court of appeals abated the appeal and remanded the case to the trial court for a hearing to resolve issues related to the accuracy of the reporter's record.
Question: Is it overruling?
Answer:",No
"Context: to the extent the court held that such release or settlement executed by the injured husband before his death did not bar an action for pecuniary loss under the wrongful death statute when brought by the personal representative of the decedent for the exclusive benefit of the surviving wife and children, if any, or next of kin, they are hereby overruled.
Question: Is it overruling?
Answer:",Yes
"Context: in sheldon appel, our supreme court clarified that the question of probable cause in a malicious prosecution case is a question of law. (sheldon appel co. v. albert & oliker, supra, 47 cal.3d at p. 875.)
Question: Is it overruling?
Answer:",No
"Context: ##coito v. superior court, reversed not overruled
Question: Is it overruling?
Answer:",Yes
"Context: 2011) (declining to resolve """"fundamental constitutional questions"""" involving other branches of government).
Question: Is it overruling?
Answer:",No
"Context: therefore, to the extent mckinney and civella are inconsistent with this proposition, they are overruled.
Question: Is it overruling?
Answer:",Yes
"Context: ibid. """"race is not assigned an explicit numerical value, but it is undisputed that race is a meaningful factor.""""
Question: Is it overruling?
Answer:",No
"Context: we therefore overrule webb and find that risinger and its progeny do not violate the principles of equal protection.
Question: Is it overruling?
Answer:",Yes
"Context: accordingly, i would proceed to address the merits and reverse as a genuine issue of fact exists.
Question: Is it overruling?
Answer:",No
"Context: the components of the second inquirycompetency and complexityare """"necessarily intertwined,"""" id. at 655, but the district court must still address both elements, id. at 649, 55. though """"we have resisted laying down categorical rules regarding recruitment of counsel,"""" id. at 656, (and we continue to do so in this case), we have previously held that a district court abuses its discretion when it does not take note of """"certain circumstances [that] demand particular judicial consideration.""""
Question: Is it overruling?
Answer:",No
"Context: id. at 359-60; see also bukowski v. city of akron, 326 f.3d 702, 710 (6th cir. 2003).
Question: Is it overruling?
Answer:",No
"Context: (pariente, j., concurring in part and dissenting in part), cert. denied, 138 s. ct. 471 (2017).
Question: Is it overruling?
Answer:",No
"Context: we overrule our prior cases which have authorized use of the concurrent sentence doctrine.
Question: Is it overruling?
Answer:",Yes
"Context: we now overrule st. john's interpretation and affirm the sentence imposed by the district court.
Question: Is it overruling?
Answer:",Yes
"Context: he filed a """"motion to suppress and motion to dismiss vindictive prosecution"""" in which he argued that the trial court should exclude """"all evidence resulting from [his] detention and arrest"""" because the arrest and the search of his person violated his constitutional rights.
Question: Is it overruling?
Answer:",No
"Context: see, e.g., in re paulson, 346 or 676, 713, 216 p3d 859 (2009), adh'd to as modified on recons, 347 or 529, 225 p3d 41 (2010) (quoting aba standards at 7).
Question: Is it overruling?
Answer:",No
"Context: 2016) (quoting minn. sent. guidelines 2.d.1 (supp.
Question: Is it overruling?
Answer:",No
"Context: walker process, 382 u.s. at 174.
Question: Is it overruling?
Answer:",No
"Context: see, e.g., r.j. griffin & co. v. beach club ii homeowners ass'n, 384 f.3d 157, 160-61 (4th cir. 2004) (""""in the context of arbitration, the doctrine [of equitable estoppel] applies when one party attempts 'to hold [another party] to the terms of [an] agreement' while simultaneously trying to avoid the agreement's arbitration clause.""""
Question: Is it overruling?
Answer:",No
"Context: to the extent our decisions in brown, beale, and later cases, e.g., watson v. united states, 612 a.2d 179, 182 (d.c. 1992), impose a more exacting standard of relevance, we disavow them.
Question: Is it overruling?
Answer:",Yes
"Context: we note that silence of the district court in a judgment on any assignment of error that has been placed before it is deemed a rejection of the claim.
Question: Is it overruling?
Answer:",No
"Context: in the wake of hauserincluding this courthave declined to allow such an individual action to proceed.
Question: Is it overruling?
Answer:",No
"Context: frazee remains good law, and howell's statement to the contrary should no longer be followed.
Question: Is it overruling?
Answer:",Yes
"Context: see golden eagle archery, inc. v. jackson, 116 s.w.3d 757, 761 (tex. 2003).
Question: Is it overruling?
Answer:",No
"Context: the cases of louisville and jefferson county planning and zoning commission v. grady, ky., 273 s.w.2d 563, and boyd v. louisville and jefferson county planning and zoning commission, 313 ky. 196, 230 s.w.2d 444, are expressly overruled.
Question: Is it overruling?
Answer:",Yes
"Context: there is no expression by congress here of a waiver of sovereign immunity where the irs acts reasonably and in good faith to collect tax debts it reasonably believes do not fall within the   scope of a discharge injunction.
Question: Is it overruling?
Answer:",No
"Context: defense counsel objected, but was overruled by the trial court.
Question: Is it overruling?
Answer:",No
"Context: it follows that there was no valid judgment against defendant bond; that the execution and garnishment issued thereon was properly quashed; and that williams v. shrout, mo.app., 294 s.w.2d 640, relied on by garnishor, must be and is overruled.
Question: Is it overruling?
Answer:",Yes
"Context: overall, treating the motion as an amendment to defendants' new matter did not limit robinson's ability to present this case because common pleas afforded him the opportunity to amend his complaint and the district court had already thoroughly evaluated the merits of this case.
Question: Is it overruling?
Answer:",No
"Context: jackson, 177 so. 3d at 932 (quoting inmin v. state, 668 so. 2d 152, 155 (ala. crim. app. 1995), citing in turn bamberg v. state, 611 so. 2d 450, 452 (ala. crim. app. 1992)).
Question: Is it overruling?
Answer:",No
"Context: petitioner argues that the tribunal erred by affirming the department's denial of a pre for the property for the 2010 through 2013 tax years.
Question: Is it overruling?
Answer:",No
"Context:  { 31} we find that the contempt in this case was criminal in nature.
Question: Is it overruling?
Answer:",No
"Context: the department need not prove all of the holley factors as a """"condition precedent"""" to termination, and the absence of some factors does not bar the factfinder from finding by clear and convincing evidence that termination is in a child's best interest.
Question: Is it overruling?
Answer:",No
"Context: we disapprove of rollenhagen to the extent that it states a public-interest privilege applicable against private figures.
Question: Is it overruling?
Answer:",Yes
"Context: on this record, the trial court had no reason to know defendants objected to the limitation imposed by its ruling, and the court had no opportunity to prevent or correct the purported misconduct that defendants assert now on appeal.
Question: Is it overruling?
Answer:",No
"Context: in muhammad, this court rejected a similar claim by an inmate that the clemency process was flawed and amounted to a denial of due process.
Question: Is it overruling?
Answer:",No
"Context: morris is therefore overruled to the extent that it is inconsistent with this principle.
Question: Is it overruling?
Answer:",Yes
"Context: we reject the reasoning and the result in that decision.
Question: Is it overruling?
Answer:",Yes
"Context: also overruled are any cases purporting to follow burrage.
Question: Is it overruling?
Answer:",Yes
"Context: evidence not properly and officially offered and introduced cannot be considered, even if it is physically placed in the record.
Question: Is it overruling?
Answer:",No
"Context: defendant is unable to demonstrate that he was prejudiced as a result of the trial court's alleged error because the record reveals that defendant's retained counsel was added as cocounsel on the first day of his trial, indicating defendant was able to move forward with counsel of his choice.
Question: Is it overruling?
Answer:",No
"Context: the lee count justice court drug court began operation in 2009, after the text of subsection (2)(a)(v) was operative.
Question: Is it overruling?
Answer:",No
"Context: as an initial matter, should evidence of dm's   pregnancy be excluded, the evidence of the abortion would cease to be relevant to the extent it is needed to explain why no dna evidence is available.
Question: Is it overruling?
Answer:",No
"Context: fontenot v. petmecky is overruled.
Question: Is it overruling?
Answer:",Yes
"Context: we therefore overrule the barker decision and adopt the economic interest rule as the test for determining the tax treatment of income derived from hard mineral extraction agreements.
Question: Is it overruling?
Answer:",Yes
"Context: id. at 354, 775 s.e.2d at 331.
Question: Is it overruling?
Answer:",No
"Context: restitution of an excessive fee, therefore, can be ordered as a condition of readmission or reinstatement, and we recede from winn to the extent that it conflicts with this holding.
Question: Is it overruling?
Answer:",Yes
"Context: be that as it may, to the extent that our present opinion is inconsistent with ryles and heath, the latter are hereby overruled.
Question: Is it overruling?
Answer:",Yes
"Context: as such, la.civ. code art. 2365 is not applicable to the matter before us, and we specifically overrule this holding in nash.
Question: Is it overruling?
Answer:",Yes
"Context: gaines, 292 f.3d at 1224.
Question: Is it overruling?
Answer:",No
"Context: to the extent it has any vitality left, we disagree with perumal.
Question: Is it overruling?
Answer:",Yes
"Context: in so doing, we have decided this case as a full court to recede from lopez v. state, 805 so.2d 41 (fla. 4th dca 2001), which held that it is fundamental error to instruct a jury in burglary cases where the ""remaining in"" language of the standard instruction is erroneously included.
Question: Is it overruling?
Answer:",Yes
"Context: to the extent that our opinion conflicts with doney, we hereby recede from doney.
Question: Is it overruling?
Answer:",Yes
"Context: we have concluded the district court of appeal properly held in this cause that a lessee for a term of years is, for the purpose of the statute, an owner and, as such, is entitled to recover business damages under the provisions thereof, any holding of gross, supra, to the contrary notwithstanding.
Question: Is it overruling?
Answer:",Yes
"Context: 1998), implicitly overruled that line of cases when it held that c.a.r. 26(a) ""guides the computation of time in determining whether a person has complied with the jurisdictional requirement; it does not alter the jurisdictional effect of a statutory deadline for taking an appeal.
Question: Is it overruling?
Answer:",Yes
"Context: here the defendants did not cause the overdetention because they could not have initiated an arraignment and, as discussed below, the plaintiffs have disavowed any argument that the sheriff or wardens could have ordered release.
Question: Is it overruling?
Answer:",No
"Context: because our case law does not support the approach set forth in cobarruvias, we affirm division two and hold that a trial court need not expressly state the presumption against waiver, nor must it begin its analysis of voluntariness anew when evaluating the third prong of the thomson analysis.
Question: Is it overruling?
Answer:",Yes
"Context: we disagree, and expressly reject the reasoning of mid-continent and utica square.
Question: Is it overruling?
Answer:",Yes
"Context: 2017) (citations, internal quotation marks, and brackets omitted), cert. denied, 138 s. ct. 983 (2018).
Question: Is it overruling?
Answer:",No
"Context: a person who intentionally and with premeditation """"causes the death of another human being"""" is guilty of first-degree murder.
Question: Is it overruling?
Answer:",No
"Context: the plaintiff, whose marriage to the defendant previously had been dissolved, appealed to this court from the judgment of the trial court denying his motion to modify the dissolution judgment by terminating his alimony obligation because of the defendant's alleged cohabitation with her boyfriend.
Question: Is it overruling?
Answer:",No
"Context: second, the district court may also measure the defendant's role against other participants, to the extent they are discernable, in that relevant conduct.
Question: Is it overruling?
Answer:",No
"Context: an """"advertising structure"""" """"means a structure of any kind or character erected, used, or maintained for outdoor advertising purposes, upon which any poster, bill, printing, painting or other advertisement of any kind whatsoever may be   placed . . . ."""" ( 5203.)
Question: Is it overruling?
Answer:",No
"Context: we further recede from our decisions in metropolitan dade county v. marusa, 295 so.2d 704 (fla. 3d dca 1974), and victor v. stierheim, 380 so.2d 1319 (fla. 3d dca 1980), to the extent that they may conflict with our holding in the present case.
Question: Is it overruling?
Answer:",Yes
"Context: to the extent that central computer servs. would dictate a different holding, it is overruled.
Question: Is it overruling?
Answer:",Yes
"Context: many of respondent's acts of misconduct, taken alone, would probably warrant no more than a public censure.
Question: Is it overruling?
Answer:",No
"Context: accordingly, we overrule get it kwik, to the extent that that opinion holds that a where a violation of the notice provisions of the bulk transfers act has occurred, the transferee cannot be personally liable to the transferor's creditors under any circumstances.
Question: Is it overruling?
Answer:",Yes
"Context: the fifth circuit relied on harbison v. bell, 556 u. s. 180 (2009), in which a prisoner appealed from an order that denied counsel under 3599 for a state clemency proceeding but that did not address the merits of any habeas petition.
Question: Is it overruling?
Answer:",No
"Context: precedent authorizing such inference is overruled.
Question: Is it overruling?
Answer:",Yes
"Context: . balliette
Question: Is it overruling?
Answer:",No
"Context: to the extent the plaintiffs had suggested there must be a defect because of the """"high"""" incidence of repair, """"they allege[d] no facts that give meaning to the term 'high.'""""
Question: Is it overruling?
Answer:",No
"Context:   aguilar's distinction between inherently and noninherently deadly weapons is reflected in calcrim no. 875's definition of """"deadly weapon,"""" which states: """"a deadly weapon other than a firearm is any object, instrument, or weapon that is [1] inherently deadly or [2] one that is used in such a way that it is capable of causing and likely to cause death or great bodily injury.""""
Question: Is it overruling?
Answer:",No
"Context: the court relied on  64.875 which provides that """"no amendments shall be made by the county commission except after recommendation of the county planning commission . . . [and] after hearings thereon by the commission.""""
Question: Is it overruling?
Answer:",No
"Context: we disapprove the opinion in brawner v. arellano, 757 s.w.2d 526 (tex.app.  san antonio), pet. dism'd by agr., 758 s.w.2d 756 (tex. 1988), to the extent that it is inconsistent with our holding herein.
Question: Is it overruling?
Answer:",Yes
"Context: we disapprove of other courts of appeals' decisions to the extent that they applied the particularized need/risk analysis to claims brought by suspects injured during an arrest.
Question: Is it overruling?
Answer:",Yes
"Context: (id. at 94, 107-09, r.r. at 99a, 112a-114a.)
Question: Is it overruling?
Answer:",No
"Context: see knight v. jewett, 834 p.2d 696, 704-05 (cal. 1992).
Question: Is it overruling?
Answer:",No
"Context: held: courts are not required to analyze the doe factors each time a party asserts that a privacy interest exists.
Question: Is it overruling?
Answer:",No
"Context: to the extent that syllabus point 3 of state v. caudill, 170 w.va. 74, 289 s.e.2d 748 (1982) is inconsistent, it is hereby modified.
Question: Is it overruling?
Answer:",Yes
"Context: even if his earlier filings had passed muster, trying a case is more difficult than drafting minimally coherent documents.
Question: Is it overruling?
Answer:",No
"Context: the issue before the supreme court was """"whether the imposition of the death penalty in these cases constitute cruel and unusual punishment in violation of the eighth and fourteenth amendments?"""" id.
Question: Is it overruling?
Answer:",No
"Context: the various mitigating factors are unavailing because by virtue of his felony conviction, the respondent was automatically disbarred and ceased to be an attorney pursuant to judiciary law  90(4)(a) (see matter of ginsberg, 1 ny2d 144).
Question: Is it overruling?
Answer:",No
"Context: 6 the moshiers contend that the district court erred in granting fisher's motion for summary judgment because (1) a six-year, rather than a four-year, statute of limitations applies; (2) the statute of limitations did not begin to run until it was clear that they would not receive the full amount of their claim; and (3) the discovery rule applies, which would delay triggering the statute of limitations.
Question: Is it overruling?
Answer:",No
"Context: because we now overrule that line of cases which would operate to grant workers' compensation benefits to a surviving spouse in such a situation, the trial court's order is reversed.
Question: Is it overruling?
Answer:",Yes
"Context: moreover, here, it was not only foreseeable that the co-employees would negligently fail to install the guardrails, it had actually occurred many times in the past.
Question: Is it overruling?
Answer:",No
"Context: we have reassessed dorsey and overrule it, finding its arguments unpersuasive when considered in the light of the demands of fair and efficient administration of justice.
Question: Is it overruling?
Answer:",Yes
"Context: see  anderson v. state, 18 so.3d 501, 520 (fla.2009) (rejecting a claim of cumulative error when appellant's claims, addressed individually, did not establish ineffective assistance of counsel or that appellant's constitutional rights were violated) (citing israel v. state, 985 so.2d 510, 520 (fla.2008)); suggs v. state, 923 so.2d 419, 441 (fla.2005) (stating the cumulative effect of evidentiary errors and allegations of ineffective assistance of trial counsel will be considered together).
Question: Is it overruling?
Answer:",No
"Context: because that proposition is contrary to the restatement rule as adopted in gross, barber and joe cooper are, to that extent, overruled.
Question: Is it overruling?
Answer:",Yes
"Context: (in re victor l. (2010) 182 cal.app.4th 902, 910 (victor l.).)
Question: Is it overruling?
Answer:",No
"Context: [appellant risner br. at 18-19].
Question: Is it overruling?
Answer:",No
"Context: we have concluded that the holdings in wyman, spillers, evangelical, supra, and their progeny, should be overruled and a new sense of direction established.
Question: Is it overruling?
Answer:",Yes
"Context: a court of equity can refuse to require removal of an encroachment where """"the cost of removal by the defendant[s] would be greatly disproportionate to the injury to the plaintiff from [the] continuation"""" of the encroachment.
Question: Is it overruling?
Answer:",No
"Context: the first section of part 2a of article 81b of chapter 15a of the north carolina general statutes is n.c.g.s.  15a-1340.19a, which is entitled """"applicability"""" and provides that """"a defendant who is convicted of first degree murder, and who was under the age of 18 at the time of the offense, shall be sentenced in accordance with this part."""" n.c.g.s.  15a-1340.19a
Question: Is it overruling?
Answer:",No
"Context: the minnesota legislature similarly limited the lewis court's holding.
Question: Is it overruling?
Answer:",Yes
"Context: the committee's use of the possessive pronoun to reference """"place of business"""" (as used in penal law  400.00), akin to the construction employed by penal law  265.03 (3) (""""such person's . . . place of business""""), demonstrates that, consistent with the legislative effort to standardize this act, """"place of business"""" was meant to be a uniform phrase in these sections of the penal law (see matter of dutchess county dept. of social servs. v. day, 96 ny2d 149, 153 [2001] [""""[c]ourts must harmonize the various   provisions of related statutes and . . . construe them in a way that renders them internally compatible""""] [internal quotation marks and citation omitted]; yatauro v mangano, 17 ny3d at 427).
Question: Is it overruling?
Answer:",No
"Context: because of its internal inconsistency, and because ainsworth is inconsistent with these precedents, it has effectively been overruled.
Question: Is it overruling?
Answer:",Yes
"Context: the officers took a """"small .22 pistol,"""" which was loaded and had a shell in the chamber, from the right pocket of his jacket.
Question: Is it overruling?
Answer:",No
"Context: tex. dep't of pub. safety v. foster, 398 s.w.3d 887, 890 (tex. app.dallas 2013, no pet.). under this standard, we conduct an independent analysis of the record, giving no deference to the trial court's conclusions.
Question: Is it overruling?
Answer:",No
"Context: in so holding, we overrule moore v. skiles and the cases that have followed it.
Question: Is it overruling?
Answer:",Yes
"Context: however, after careful examination of the development and purpose of rule 296, we feel compelled to go further and overrule lassiter and all other decisions after 1957 which have required separate presentment of the initial request for findings and conclusions.
Question: Is it overruling?
Answer:",Yes
"Context: thus, the presence of an ambiguity in a contract does not always indicate a structural failure; it could just as easily mean that the parties intended to be bound to arbitrate and that the trial court, as the outside interpreter of the contract, should admit parol evidence to shed light on that contract's limits.
Question: Is it overruling?
Answer:",No
"Context: we affirm, and in so doing, we recede from sapphire condominium association v. amerivend corp., 691 so.2d 600 (fla. 4th dca 1997), and bridgeport inc. v. rinker materials corp.
Question: Is it overruling?
Answer:",Yes
"Context: insofar as tucker suggests that a maximum-sentence agreement forecloses such issues, and thus provides support for the notion that a certificate of probable cause is necessary to raise them on appeal, tucker, like stewart, should be disapproved
Question: Is it overruling?
Answer:",Yes
"Context: williams disapproved of people v. morris (1987) 192 cal.app.3d 380, 237 cal.rptr. 402 ( morris ) to the extent it is inconsistent with our conclusion that defendant's miranda arguments are without merit.
Question: Is it overruling?
Answer:",Yes
"Context: to the extent that our opinions in baker v. mayor and city council of baltimore, 894 f.2d 679, 682 (4th cir.), cert. denied, 498 u.s. 815 (1990), and schlitz v. commonwealth of virginia, 854 f.2d 43, 45-46 (4th cir. 1988), can be read to confer legislative immunity on municipalities from suits brought under section 1983, those decisions are overruled.
Question: Is it overruling?
Answer:",Yes
"Context: and, on each occasion, the defense took issue with the reasons offered by the prosecutor in support of the strike.""""
Question: Is it overruling?
Answer:",No
"Context: to the extent doneff v. treasurer of state of missouri , 965 s.w.2d 255 (1998), and brown are contrary to this opinion, they are overruled.
Question: Is it overruling?
Answer:",Yes
"Context: insofar as inconsistent with trappey and our decision herein, we overrule the cited intermediate decisions in leger, cockerham, and bersuder, as well as obiol v. industrial outdoor displays, 288 so.2d 425 (la.app. 4th cir. 1974) which followed them.
Question: Is it overruling?
Answer:",Yes
"Context: in short, we reject the view, expressed in in re ishihara chemical co., that  1782 comes into play only when adjudicative proceedings are ""pending"" or ""imminent.""
Question: Is it overruling?
Answer:",Yes
"Context: we conclude that we should.
Question: Is it overruling?
Answer:",Yes
