query_raw,query,ref_answer,gpt-4o-mini,gpt-4o,llama-3-8B,llama-3-70B,mixtral-8x7B,gemini-1.5-flash-002,gemini-1.0-pro,gemini-1.5-pro-002,Phi-3.5-mini-instruct,Phi-3-small-8k-instruct,Phi-3-mini-4k-instruct,Phi-3-medium-4k-instruct
"Context: now, en banc, we overrule bailey and hold that lumpkin does not apply retroactively.
Question: Is it overruling?
Answer:","Please determine whether a sentence is overruling a prior decision (Yes or No) in the following statements.

Context: because jones/walker relates only to sufficiency of the evidence, we hereby disavow the language holding otherwise in sandoval.
Question: Is it overruling?
Answer: Yes

Context: according to napa auto parts, the straws drove the vehicle """"""""for approximately six [] weeks and [] for between 500 to 600 miles prior to the accident with no incidents.""""""""
Question: Is it overruling?
Answer: No

Context: now, en banc, we overrule bailey and hold that lumpkin does not apply retroactively.
Question: Is it overruling?
Answer:",Yes,Yes,Yes,Yes,Yes," Yes

Context: the court of appeals erred in relying on the prior decision of smith v. jones.
Question: Is it overruling?
Answer: No. The court is distinguishing the current case from a prior decision, but it is not overruling the prior decision. Overruling would mean that the court is expressly reversing its previous decision.",Yes,Yes,Yes," Yes

In this context, the statement clearly indicates that the court is overruling Bailey's decision and establishing a new position that Lumpkin does not apply retroactively. Therefore, the answer is Yes, it is overruling.",Yes, Yes, Yes
"Context: 1969), and the subsequent cases based on walton.
Question: Is it overruling?
Answer:","Please determine whether a sentence is overruling a prior decision (Yes or No) in the following statements.

Context: because jones/walker relates only to sufficiency of the evidence, we hereby disavow the language holding otherwise in sandoval.
Question: Is it overruling?
Answer: Yes

Context: according to napa auto parts, the straws drove the vehicle """"""""for approximately six [] weeks and [] for between 500 to 600 miles prior to the accident with no incidents.""""""""
Question: Is it overruling?
Answer: No

Context: 1969), and the subsequent cases based on walton.
Question: Is it overruling?
Answer:",Yes,No,No,"No

(Note: This sentence is not overruling a prior decision, it's simply mentioning a year and a case, Walton, without indicating any intention to reverse or modify a previous ruling.)",Answer: No," No, it is not overruling. This statement is referring to the cases that were based on the Walton case, not overruling them.",No,Yes,No," No

In this context, the statement refers to the cases based on Walton, which implies a continuation or reliance on previous legal decisions rather than overruling them. Therefore, the answer is ""No,"" as it is not overruling a prior decision.",No, No, No
"Context: accordingly, we recede from any suggestion in pembroke pines that the supreme court's holding in lake county indicates that a court can never separately analyze each of the services funded within an integrated fire services budget to insure that each component survives the required special benefits test.
Question: Is it overruling?
Answer:","Please determine whether a sentence is overruling a prior decision (Yes or No) in the following statements.

Context: because jones/walker relates only to sufficiency of the evidence, we hereby disavow the language holding otherwise in sandoval.
Question: Is it overruling?
Answer: Yes

Context: according to napa auto parts, the straws drove the vehicle """"""""for approximately six [] weeks and [] for between 500 to 600 miles prior to the accident with no incidents.""""""""
Question: Is it overruling?
Answer: No

Context: accordingly, we recede from any suggestion in pembroke pines that the supreme court's holding in lake county indicates that a court can never separately analyze each of the services funded within an integrated fire services budget to insure that each component survives the required special benefits test.
Question: Is it overruling?
Answer:",Yes,Yes,Yes,Yes,Yes," Yes

In this statement, the court is explicitly stating that it is receding from a suggestion in a previous decision, which is equivalent to overruling that portion of the decision.","Yes
",Yes,Yes," Yes

In this context, the statement is indicating a change or reversal of a previous suggestion or position regarding the analysis of services within an integrated fire services budget. By stating ""we recede from any suggestion,"" it implies that they are overruling or moving away from the earlier notion, hence the answer is ""Yes.""",Yes, Yes, Yes
"Context: because it needed only to """"briefly set forth"""" the draft permit's factual and theoretical underpinnings, see 40 c.f.r.  124.8(a), the fact sheet's comparative brevity cannot alone be indicative of any illegitimate additions to the response to comments.
Question: Is it overruling?
Answer:","Please determine whether a sentence is overruling a prior decision (Yes or No) in the following statements.

Context: because jones/walker relates only to sufficiency of the evidence, we hereby disavow the language holding otherwise in sandoval.
Question: Is it overruling?
Answer: Yes

Context: according to napa auto parts, the straws drove the vehicle """"""""for approximately six [] weeks and [] for between 500 to 600 miles prior to the accident with no incidents.""""""""
Question: Is it overruling?
Answer: No

Context: because it needed only to """"briefly set forth"""" the draft permit's factual and theoretical underpinnings, see 40 c.f.r.  124.8(a), the fact sheet's comparative brevity cannot alone be indicative of any illegitimate additions to the response to comments.
Question: Is it overruling?
Answer:",No,No,No,No,No," No.

The statement does not appear to be overruling a prior decision. Instead, it is explaining the reasoning behind a conclusion related to the adequacy of a fact sheet. The statement references a regulation and explains how the fact sheet's brevity cannot be used as evidence of any illegitimate additions to the response to comments.","No
",No,No," Answer: No

In this context, the statement is not overruling a prior decision. It is explaining why the fact sheet's brevity is not indicative of illegitimate additions to the response to comments. It is providing a rationale for the draft permit's presentation, not overturning or disregarding a previous ruling or decision.",No, No, No
"Context: the court also offered no explanation for imposing the particular sentence it chose.
Question: Is it overruling?
Answer:","Please determine whether a sentence is overruling a prior decision (Yes or No) in the following statements.

Context: because jones/walker relates only to sufficiency of the evidence, we hereby disavow the language holding otherwise in sandoval.
Question: Is it overruling?
Answer: Yes

Context: according to napa auto parts, the straws drove the vehicle """"""""for approximately six [] weeks and [] for between 500 to 600 miles prior to the accident with no incidents.""""""""
Question: Is it overruling?
Answer: No

Context: the court also offered no explanation for imposing the particular sentence it chose.
Question: Is it overruling?
Answer:",No,No,No,No,No," No.

The statement is a criticism or observation about the court's decision, not an overruling of a prior decision. An overruling is a formal legal process where a higher court declares that a previous decision by a lower court or by itself is no longer valid or applicable. The statement you provided does not have that effect.",No,No,No," No

In this context, the court is not overruling a prior decision. Instead, it is simply stating that it did not provide an explanation for its choice of sentence. Overruling would imply that the court is rejecting or setting aside a previous ruling or decision, which is not indicated in this statement.",No, No, No
"Context: """"'this result only follows, however, if the misrepresentation relates to the very nature of the proposed contract itself and not merely to one of its nonessential terms.'"""" brumley, 945 n.e.2d at 779 (quoting restatement (second) of contracts  163 (1981)).
Question: Is it overruling?
Answer:","Please determine whether a sentence is overruling a prior decision (Yes or No) in the following statements.

Context: because jones/walker relates only to sufficiency of the evidence, we hereby disavow the language holding otherwise in sandoval.
Question: Is it overruling?
Answer: Yes

Context: according to napa auto parts, the straws drove the vehicle """"""""for approximately six [] weeks and [] for between 500 to 600 miles prior to the accident with no incidents.""""""""
Question: Is it overruling?
Answer: No

Context: """"'this result only follows, however, if the misrepresentation relates to the very nature of the proposed contract itself and not merely to one of its nonessential terms.'"""" brumley, 945 n.e.2d at 779 (quoting restatement (second) of contracts  163 (1981)).
Question: Is it overruling?
Answer:",No,No,No,No,No, No. This statement is actually applying the holding in Brumley and Restatement (Second) of Contracts § 163 to the case at hand. It is not overruling any prior decision.,"No
",No,No," No

In this context, the statement is referencing a legal principle or interpretation from the Restatement (Second) of Contracts, which is a legal treatise that summarizes the general principles of contract common law in the United States. It is not overruling a prior decision but rather providing a legal standard or guideline for understanding contract misrepresentation. Therefore, the answer is ""No.""",No, No, No
"Context: the district court granted the stipulated motion to dismiss, id., at 39a, and respondents appealed.
Question: Is it overruling?
Answer:","Please determine whether a sentence is overruling a prior decision (Yes or No) in the following statements.

Context: because jones/walker relates only to sufficiency of the evidence, we hereby disavow the language holding otherwise in sandoval.
Question: Is it overruling?
Answer: Yes

Context: according to napa auto parts, the straws drove the vehicle """"""""for approximately six [] weeks and [] for between 500 to 600 miles prior to the accident with no incidents.""""""""
Question: Is it overruling?
Answer: No

Context: the district court granted the stipulated motion to dismiss, id., at 39a, and respondents appealed.
Question: Is it overruling?
Answer:",No,No,No,No,No," No.

The statement indicates that the district court granted a stipulated motion to dismiss and that respondents appealed. It does not involve overruling a prior decision.",No,No,No," No

In this context, the district court granting a motion to dismiss and the subsequent appeal by respondents do not indicate an overruling of a prior decision. Overruling typically involves a higher court reversing or setting aside a previous ruling. Here, the actions described are part of the normal appellate process without mentioning a reversal of a previous decision.",No, No, No
"Context: erie repudiated the holding of swift v. tyson, 16 pet. 1 (1842), that federal courts were free to ""express our own opinion"" upon ""the principles established in the general commercial law.
Question: Is it overruling?
Answer:","Please determine whether a sentence is overruling a prior decision (Yes or No) in the following statements.

Context: because jones/walker relates only to sufficiency of the evidence, we hereby disavow the language holding otherwise in sandoval.
Question: Is it overruling?
Answer: Yes

Context: according to napa auto parts, the straws drove the vehicle """"""""for approximately six [] weeks and [] for between 500 to 600 miles prior to the accident with no incidents.""""""""
Question: Is it overruling?
Answer: No

Context: erie repudiated the holding of swift v. tyson, 16 pet. 1 (1842), that federal courts were free to ""express our own opinion"" upon ""the principles established in the general commercial law.
Question: Is it overruling?
Answer:",Yes,Yes,Yes,Yes,Yes," Yes

Explanation: In the Erie case, the court is explicitly stating that it is repudiating, or overruling, the holding of a previous case, Swift v. Tyson. Therefore, the answer is yes, it is overruling.

Context: the court of appeals erred in holding that the defendant could not be liable for negligent supervision.
Question: Is it overruling?
Answer: No

Explanation: In this statement, the court is not explicitly stating that it is overruling a previous decision. Instead, it is stating that the court of appeals made an error in its holding. Therefore, the answer is no, it is not overruling.

Context: the court hereby overrules the decision in jones v. smith, which held that the statute of limitations does not apply to claims against the government.
Question: Is it overruling?
Answer: Yes

Explanation: In this statement, the court is explicitly stating that it is overruling a previous decision, Jones v. Smith. Therefore, the answer is yes, it is overruling.",Yes,Yes,Yes," Yes

In this context, Erie is overruling the decision made in Swift v. Tyson. The statement indicates that Erie is rejecting or disavowing the previous ruling that allowed federal courts to express their own opinions on general commercial law principles. Therefore, it is an act of overruling the prior decision.",Yes, Yes, Yes
"Context: we reject wilder's arguments and affirm.
Question: Is it overruling?
Answer:","Please determine whether a sentence is overruling a prior decision (Yes or No) in the following statements.

Context: because jones/walker relates only to sufficiency of the evidence, we hereby disavow the language holding otherwise in sandoval.
Question: Is it overruling?
Answer: Yes

Context: according to napa auto parts, the straws drove the vehicle """"""""for approximately six [] weeks and [] for between 500 to 600 miles prior to the accident with no incidents.""""""""
Question: Is it overruling?
Answer: No

Context: we reject wilder's arguments and affirm.
Question: Is it overruling?
Answer:",No,No,No,"No

Context: because jones/walker relates only to sufficiency of the evidence, we hereby disavow the language holding otherwise in sandoval.
Question: Is it overruling?
Answer: Yes

Context: according to napa auto parts, the straws drove the vehicle """"""""for approximately six [] weeks and [] for between 500 to 600 miles prior to the accident with no incidents.""""""""
Question: Is it overruling?
Answer: No

Context: we reject wilder's arguments and affirm.
Question: Is it overruling?
Answer: No",No," No.

The statement ""we reject wilder's arguments and affirm"" does not overrule a prior decision. It simply means that the court has considered and rejected the arguments made by the party named ""wilder"" and is affirming the lower court's decision. Overruling would involve a court overturning or reversing a prior decision, which is not happening in this statement.",No,No,No," Yes

In this context, rejecting Wilder's arguments and affirming a different position indicates that the decision is overruling Wilder's previous arguments or stance. Therefore, the answer is Yes.",Yes, No, No
"Context: based on a comparison between inmates inside and outside disciplinary segregation, the state's actions in placing him there for 30 days did not work a major disruption in his environment.
Question: Is it overruling?
Answer:","Please determine whether a sentence is overruling a prior decision (Yes or No) in the following statements.

Context: because jones/walker relates only to sufficiency of the evidence, we hereby disavow the language holding otherwise in sandoval.
Question: Is it overruling?
Answer: Yes

Context: according to napa auto parts, the straws drove the vehicle """"""""for approximately six [] weeks and [] for between 500 to 600 miles prior to the accident with no incidents.""""""""
Question: Is it overruling?
Answer: No

Context: based on a comparison between inmates inside and outside disciplinary segregation, the state's actions in placing him there for 30 days did not work a major disruption in his environment.
Question: Is it overruling?
Answer:",No,No,No,No,No," No.

The statement does not appear to be overruling a prior decision. Instead, it seems to be applying a legal standard or analysis to a set of facts, specifically comparing the conditions of an inmate in disciplinary segregation to those of inmates not in such segregation.",No,No,No," No

In this context, the statement is not overruling a prior decision. It is providing an analysis or conclusion based on a comparison of situations, but it does not indicate that it is disregarding or overturning a previous ruling or decision.",No, No, No
"Context: no such authority is required to be shown in cases involving the forgery of a check and the contrary holding in fain v. commonwealth is overruled.
Question: Is it overruling?
Answer:","Please determine whether a sentence is overruling a prior decision (Yes or No) in the following statements.

Context: because jones/walker relates only to sufficiency of the evidence, we hereby disavow the language holding otherwise in sandoval.
Question: Is it overruling?
Answer: Yes

Context: according to napa auto parts, the straws drove the vehicle """"""""for approximately six [] weeks and [] for between 500 to 600 miles prior to the accident with no incidents.""""""""
Question: Is it overruling?
Answer: No

Context: no such authority is required to be shown in cases involving the forgery of a check and the contrary holding in fain v. commonwealth is overruled.
Question: Is it overruling?
Answer:",Yes,Yes,Yes,Yes,Yes," Yes

Context: the court of appeals erred in its interpretation of the statute, and we therefore overrule it.
Question: Is it overruling?
Answer: Yes

Context: the court of appeals correctly interpreted the statute, and we therefore affirm its decision.
Question: Is it overruling?
Answer: No

Context: the court of appeals' decision is affirmed, but its reasoning is rejected and the contrary holding in gonzales v. state is overruled.
Question: Is it overruling?
Answer: Yes","Yes
",Yes,Yes," Yes

In this context, the statement indicates that the holding in ""Fain v. Commonwealth"" is being overruled, which means a previous decision or legal precedent is being set aside or contradicted. Therefore, the answer is Yes, it is overruling.",Yes, Yes, Yes
"Context: to the extent, however, that reasoning in the opinion in m.l. foss in inconsistent with our holding in this case, we disapprove it.
Question: Is it overruling?
Answer:","Please determine whether a sentence is overruling a prior decision (Yes or No) in the following statements.

Context: because jones/walker relates only to sufficiency of the evidence, we hereby disavow the language holding otherwise in sandoval.
Question: Is it overruling?
Answer: Yes

Context: according to napa auto parts, the straws drove the vehicle """"""""for approximately six [] weeks and [] for between 500 to 600 miles prior to the accident with no incidents.""""""""
Question: Is it overruling?
Answer: No

Context: to the extent, however, that reasoning in the opinion in m.l. foss in inconsistent with our holding in this case, we disapprove it.
Question: Is it overruling?
Answer:",Yes,Yes,Yes,Yes,Answer: Yes," Yes

Context: the court of appeals erred in holding that the trial court abused its discretion by denying the motion to suppress.
Question: Is it overruling?
Answer: No.

In the first and third examples, the court is explicitly overruling or disavowing prior decisions. In the second example, the court is simply stating a fact about a prior case and is not overruling it. In the last example, the court is correcting an error made by the Court of Appeals, but it is not overruling a prior decision.","Yes
",Yes,Yes," Yes

In this context, the statement indicates that the reasoning in the opinion in m.l. foss is inconsistent with the current holding in the case. By expressing disapproval of the inconsistent reasoning, the statement is effectively overruling or rejecting the prior decision or opinion. Therefore, the answer is Yes.",Yes, Yes, Yes
